OBJECTID,ADM1_EN,ADM2_EN,Incidence
1,Eastern Province,Bugesera,236
2,Eastern Province,Gatsibo,50
3,Eastern Province,Kayonza,273
4,Eastern Province,Kirehe,75
5,Eastern Province,Ngoma,50
6,Eastern Province,Nyagatare,50
7,Eastern Province,Rwamagana,234
8,Kigali City,Gasabo,201
9,Kigali City,Kicukiro,116
10,Kigali City,Nyarugenge,71
11,Northern Province,Burera,50
12,Northern Province,Gakenke,68
13,Northern Province,Gicumbi,87
14,Northern Province,Musanze,55
15,Northern Province,Rulindo,83
16,Southern Province,Gisagara,279
17,Southern Province,Huye,69
18,Southern Province,Kamonyi,271
19,Southern Province,Muhanga,190
20,Southern Province,Nyamagabe,123
21,Southern Province,Nyanza,116
22,Southern Province,Nyaruguru,113
23,Southern Province,Ruhango,250
24,Western Province,Karongi,157
25,Western Province,Ngororero,67
26,Western Province,Nyabihu,50
27,Western Province,Nyamasheke,333
28,Western Province,Rubavu,66
29,Western Province,Rusizi,269
30,Western Province,Rutsiro,134
